billing_record_id,fee_schedule_id
1,23
2,5
2,22
3,25
4,6
4,7
4,1
5,6
5,20
5,29
6,29
6,15
6,26
7,9
7,19
7,10
8,29
8,13
8,18
9,8
10,9
10,5
10,22
11,7
11,24
12,4
12,9
12,25
13,17
14,13
15,8
15,17
15,13
16,5
16,13
16,23
17,20
17,16
17,22
18,8
18,28
19,13
19,17
20,2
20,27
21,6
21,24
22,29
22,13
22,5
23,16
24,7
24,2
24,17
25,4
25,1
25,30
26,14
27,16
28,24
28,7
28,16
29,12
29,8
30,17
30,5
30,30
31,22
31,1
32,14
33,21
34,14
34,9
35,8
35,26
35,6
36,29
37,11
37,27
37,14
38,25
38,8
39,18
39,10
40,19
40,11
41,26
42,22
42,26
43,23
43,12
43,2
44,6
44,3
45,22
45,21
45,20
46,14
46,1
47,28
47,14
48,17
48,6
49,9
49,5
50,13
51,21
52,3
52,4
52,1
53,6
54,5
55,10
55,24
56,17
56,23
57,21
57,20
58,29
59,14
59,26
59,29
60,20
61,25
61,12
62,6
63,7
63,12
63,3
64,19
65,28
65,13
65,30
66,3
67,14
67,23
67,15
68,15
69,21
69,16
70,10
70,25
70,27
71,17
71,4
71,18
72,11
72,28
73,20
73,30
74,2
74,4
74,8
75,27
76,29
76,7
77,1
78,19
78,2
78,9
79,27
80,17
81,7
82,5
82,1
83,22
83,19
84,2
85,12
85,2
85,30
86,9
86,4
86,29
87,22
88,23
88,29
88,3
89,28
90,14
90,12
91,14
92,9
92,17
93,2
93,25
94,8
94,6
95,1
96,5
96,3
97,10
97,17
97,14
98,5
98,16
99,6
99,21
99,23
100,29
100,25
100,23
101,16
101,6
102,24
102,25
102,11
103,2
103,24
104,22
104,28
104,6
105,22
105,14
105,28
106,28
106,30
106,1
107,5
108,21
108,4
108,24
109,8
109,15
110,2
110,24
111,21
112,25
112,3
112,9
113,7
113,21
113,16
114,6
115,21
115,27
115,9
116,11
116,14
116,19
117,13
117,10
117,3
118,22
118,15
118,19
119,18
119,20
120,24
120,23
121,26
122,12
122,21
122,16
123,2
123,12
124,8
125,13
126,29
126,3
127,26
127,28
127,12
128,23
128,1
129,25
130,19
131,3
131,29
132,19
132,29
132,26
133,14
134,26
134,12
135,30
135,15
136,11
136,29
136,20
137,16
137,28
137,25
138,15
138,9
138,3
139,4
140,13
140,4
141,16
142,13
142,30
143,3
144,18
144,9
144,20
145,26
145,25
145,20
146,22
147,14
147,9
147,24
148,14
149,15
150,12
150,27
151,11
152,29
153,15
153,4
153,21
154,16
155,4
156,22
157,28
157,26
157,1
158,23
158,22
158,15
159,17
160,22
161,17
161,9
162,22
163,20
163,21
164,24
165,20
165,29
166,23
166,18
167,19
167,16
167,15
168,9
168,23
169,25
169,4
169,14
170,15
171,2
171,11
171,16
172,13
172,24
172,6
173,12
174,25
175,6
175,19
175,24
176,14
176,24
177,30
177,23
177,4
178,21
179,15
179,8
179,24
180,11
181,12
181,28
181,1
182,18
183,1
183,17
184,30
184,27
184,19
185,25
185,9
185,16
186,5
187,5
187,4
188,8
188,5
188,22
189,25
189,19
189,17
190,30
190,7
190,3
191,29
191,16
192,15
192,28
192,13
193,20
193,14
193,13
194,1
194,27
194,30
195,24
195,25
195,23
196,18
196,7
196,28
197,2
198,14
198,20
199,3
200,28
201,19
201,9
201,29
202,19
203,7
204,23
204,2
205,29
205,17
205,28
206,18
206,9
207,28
207,3
208,29
208,20
209,21
209,7
210,18
210,13
210,15
211,5
211,10
211,16
212,26
212,6
213,3
213,15
214,22
214,21
214,25
215,22
215,3
216,10
216,16
217,17
218,20
218,1
219,16
219,22
219,20
220,14
221,2
221,24
221,3
222,3
222,21
223,16
223,26
224,3
224,23
224,22
225,1
225,5
226,21
227,10
227,22
228,30
228,4
229,7
229,17
230,23
231,10
231,29
232,8
232,29
232,11
233,25
234,5
234,28
235,7
236,1
236,4
237,21
237,29
237,14
238,23
238,6
239,12
239,24
240,19
241,13
241,18
241,29
242,7
242,6
243,14
243,4
244,7
244,26
245,17
245,7
246,24
246,1
246,3
247,4
247,5
247,10
248,14
249,29
250,19
250,25
251,5
251,16
251,15
252,19
252,10
253,22
253,1
253,15
254,25
254,3
254,20
255,19
255,9
255,24
256,19
257,27
257,16
258,25
259,15
259,23
260,6
260,22
261,3
261,26
262,12
262,5
263,8
263,29
263,24
264,7
264,16
264,1
265,29
266,26
266,24
267,6
267,17
267,21
268,4
268,8
269,5
270,16
270,14
271,15
271,25
271,7
272,6
272,25
272,16
273,29
273,6
273,21
274,17
274,14
274,27
275,26
276,28
277,25
277,7
277,8
278,28
279,25
279,14
279,8
280,17
280,11
281,29
281,28
281,18
282,18
283,18
283,30
284,14
284,27
284,17
285,4
285,7
285,5
286,2
286,6
287,13
287,15
288,17
288,25
288,2
289,1
289,30
289,14
290,15
291,14
291,7
291,30
292,16
292,17
293,16
293,23
294,27
294,13
295,10
296,6
297,25
297,18
297,23
298,30
298,13
298,9
299,30
300,5
300,3
300,27
301,26
301,20
302,27
302,20
302,8
303,1
303,9
304,3
304,15
304,27
305,12
306,4
306,16
307,4
307,9
308,11
309,11
309,1
310,20
310,6
311,1
312,9
313,9
313,10
314,18
315,16
316,2
316,10
317,2
317,15
317,8
318,4
318,16
318,13
319,8
319,6
319,12
320,18
321,24
321,8
321,12
322,6
322,30
323,11
323,5
324,24
324,22
325,24
325,8
325,30
326,24
326,20
326,5
327,19
327,16
327,11
328,11
328,15
329,17
330,5
331,2
332,18
332,27
332,28
333,15
333,18
334,25
334,12
334,27
335,21
335,23
335,18
336,20
336,1
337,22
338,25
338,30
338,12
339,15
339,16
339,21
340,2
340,5
341,8
341,4
342,12
343,12
343,3
343,10
344,22
344,8
345,15
345,10
346,4
346,6
346,24
347,9
347,20
347,29
348,6
348,29
348,20
349,1
349,29
349,16
350,25
350,13
351,9
351,2
352,29
353,30
353,28
353,5
354,28
354,14
355,3
355,17
356,28
356,20
356,2
357,30
357,11
357,19
358,6
359,5
360,18
361,21
361,26
362,19
363,27
363,4
363,25
364,5
365,9
365,17
365,6
366,27
366,4
367,9
367,16
368,1
369,10
369,14
369,24
370,4
370,20
371,16
371,19
371,3
372,13
372,27
372,24
373,10
373,7
373,9
374,9
374,17
374,5
375,1
375,18
376,20
377,7
377,27
377,26
378,25
378,23
378,12
379,11
380,30
381,17
381,8
381,6
382,28
382,15
383,10
383,22
384,19
384,7
384,27
385,7
385,20
385,21
386,29
386,26
386,10
387,28
387,25
387,1
388,27
388,18
389,12
389,11
390,23
390,22
390,26
391,16
392,21
392,19
393,14
393,10
394,29
395,5
395,16
396,22
397,6
397,2
397,5
398,1
399,9
400,28
401,30
401,3
402,25
402,24
403,14
403,11
403,8
404,20
405,25
406,15
407,19
407,30
408,10
409,18
409,22
409,8
410,24
411,19
412,15
412,10
413,17
413,30
413,23
414,11
414,15
414,29
415,22
416,25
417,10
418,2
418,21
418,27
419,2
419,14
419,25
420,27
420,30
420,6
421,13
421,7
421,10
422,29
422,30
423,7
423,26
424,6
424,27
425,29
426,13
426,23
426,6
427,5
427,27
428,5
429,24
429,1
429,7
430,19
430,5
431,16
431,9
432,21
433,26
433,13
433,21
434,24
434,12
434,15
435,26
436,13
437,15
437,10
437,2
438,21
439,17
439,18
439,11
440,14
441,19
441,11
442,27
442,28
443,21
443,13
444,21
445,12
445,6
445,10
446,11
446,14
446,8
447,25
447,11
447,12
448,15
449,6
449,12
450,25
450,1
451,15
452,10
453,9
453,4
453,25
454,16
454,13
454,21
455,10
455,18
456,6
457,24
457,21
458,8
458,4
458,2
459,8
460,1
461,18
461,25
462,3
463,22
463,14
463,5
464,1
464,26
464,24
465,25
465,13
465,11
466,15
466,12
467,3
467,15
467,16
468,18
469,18
469,15
469,4
470,2
470,17
471,2
471,27
471,3
472,16
472,4
472,26
473,5
473,24
473,13
474,2
475,27
475,3
476,5
476,14
477,4
478,2
478,4
478,6
479,3
479,15
479,21
480,2
481,7
481,15
481,24
482,22
482,26
483,7
483,24
484,2
484,8
485,18
485,29
486,6
486,26
487,8
487,28
487,27
488,2
489,13
489,12
490,26
490,29
491,12
491,24
491,1
492,17
492,18
493,23
493,7
493,3
494,22
494,17
494,12
495,4
495,29
496,28
496,2
497,14
497,15
498,21
498,5
498,30
499,27
500,24
500,12
501,13
501,21
501,4
502,19
502,11
502,16
503,25
503,20
504,20
504,8
504,17
505,24
506,11
506,1
507,25
507,11
507,15
508,18
509,17
509,21
510,22
511,30
512,25
513,19
513,2
513,5
514,22
514,6
515,24
515,5
515,2
516,9
516,5
517,4
517,26
517,19
518,25
519,25
520,10
520,22
521,13
521,15
521,21
522,8
522,3
522,1
523,9
523,30
524,5
524,23
525,12
525,21
526,1
526,24
527,10
527,2
527,27
528,25
529,10
530,3
530,11
530,14
531,9
532,15
533,17
533,10
534,14
534,18
535,26
535,13
536,8
536,19
536,16
537,3
538,5
538,18
538,12
539,22
540,4
540,22
540,8
541,15
541,7
541,14
542,2
542,23
543,6
543,23
543,15
544,9
545,21
545,30
545,5
546,9
546,14
546,25
547,13
548,2
549,18
550,11
550,7
550,19
551,26
552,27
552,29
552,19
553,29
554,26
555,25
555,16
556,15
556,26
557,23
557,9
558,22
559,7
560,20
561,24
561,21
561,27
562,5
563,22
563,8
564,5
565,7
566,26
566,10
567,10
568,2
568,6
569,21
570,17
570,13
570,8
571,20
572,4
572,15
573,16
573,8
574,13
575,21
576,10
577,23
577,20
578,27
578,2
579,18
579,26
579,8
580,1
581,28
581,24
581,30
582,27
582,29
583,6
584,19
584,8
585,2
585,3
586,3
586,26
586,8
587,12
587,18
587,30
588,19
588,22
589,19
590,20
590,25
590,23
591,26
592,28
593,8
593,23
594,11
594,9
